Rk,Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
382.0,KZ Okpala,19-20,SF,20.0,MIA,5.0,0.0,5.2,0.6,1.0,0.6,0.0,0.2,0.0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4
383.0,Victor Oladipo,19-20,SG,27.0,IND,19.0,16.0,27.8,5.1,12.9,0.39399999999999996,1.7,5.5,0.317,3.4,7.5,0.451,0.461,2.5,3.1,0.8140000000000001,0.5,3.5,3.9,2.9,0.9,0.2,2.5,1.9,14.5
384.0,Kelly Olynyk,19-20,C,28.0,MIA,67.0,9.0,19.4,2.7,5.9,0.462,1.4,3.5,0.406,1.3,2.4,0.5429999999999999,0.5820000000000001,1.3,1.5,0.86,0.7,3.9,4.6,1.7,0.7,0.3,1.1,2.6,8.2
385.0,Miye Oni,19-20,SG,22.0,UTA,10.0,1.0,10.9,1.2,3.2,0.375,0.7,1.9,0.368,0.5,1.3,0.385,0.484,0.4,0.5,0.8,0.5,1.2,1.7,0.4,0.4,0.2,0.4,0.9,3.5
386.0,Cedi Osman,19-20,SF,24.0,CLE,65.0,65.0,29.4,4.1,9.4,0.43700000000000006,1.9,4.9,0.38299999999999995,2.2,4.4,0.49700000000000005,0.5379999999999999,1.0,1.4,0.67,0.6,3.0,3.6,2.4,0.8,0.2,1.4,2.5,11.0
387.0,Kelly Oubre Jr.,19-20,SF,24.0,PHO,56.0,55.0,34.5,6.7,14.8,0.452,1.9,5.5,0.35200000000000004,4.7,9.3,0.511,0.517,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7
388.0,Tariq Owens,19-20,PF,24.0,PHO,3.0,0.0,5.0,0.3,1.7,0.2,0.0,0.7,0.0,0.3,1.0,0.33299999999999996,0.2,0.7,0.7,1.0,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.3
389.0,Jeremy Pargo,19-20,PG,33.0,GSW,3.0,0.0,14.7,3.7,7.3,0.5,1.0,2.3,0.429,2.7,5.0,0.5329999999999999,0.568,0.0,0.3,0.0,0.3,0.7,1.0,2.7,0.3,0.0,1.3,2.7,8.3
390.0,Jabari Parker,19-20,PF,24.0,TOT,38.0,23.0,24.1,5.8,11.3,0.51,0.8,3.1,0.26899999999999996,4.9,8.2,0.603,0.5479999999999999,1.6,2.1,0.753,1.6,4.0,5.6,1.8,1.2,0.4,1.7,2.6,14.0
391.0,Chandler Parsons,19-20,SF,31.0,ATL,5.0,0.0,10.8,1.0,3.6,0.278,0.8,2.8,0.28600000000000003,0.2,0.8,0.25,0.389,0.0,0.0,,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
392.0,Eric Paschall,19-20,PF,23.0,GSW,60.0,26.0,27.6,5.3,10.7,0.49700000000000005,0.6,2.2,0.287,4.7,8.5,0.55,0.526,2.7,3.5,0.774,1.4,3.2,4.6,2.1,0.5,0.2,1.6,2.1,14.0
393.0,Anžejs Pasečņiks,19-20,C,24.0,WAS,27.0,0.0,16.2,2.3,4.3,0.526,0.0,0.1,0.0,2.3,4.2,0.54,0.526,1.3,2.1,0.586,1.6,2.4,4.0,0.7,0.3,0.4,0.9,2.8,5.8
394.0,Patrick Patterson,19-20,PF,30.0,LAC,59.0,18.0,13.2,1.6,3.9,0.408,1.1,2.9,0.39,0.5,1.0,0.45899999999999996,0.552,0.6,0.7,0.8140000000000001,0.6,2.0,2.6,0.7,0.1,0.1,0.4,0.9,4.9
395.0,Justin Patton,19-20,C,22.0,OKC,5.0,0.0,4.8,0.8,2.0,0.4,0.2,0.8,0.25,0.6,1.2,0.5,0.45,0.0,0.0,,0.2,0.8,1.0,0.4,0.0,0.0,0.4,0.8,1.8
396.0,Chris Paul,19-20,PG,34.0,OKC,70.0,70.0,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.5539999999999999,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6
397.0,Cameron Payne,19-20,PG,25.0,PHO,8.0,0.0,22.9,4.1,8.5,0.485,1.9,3.6,0.517,2.3,4.9,0.462,0.596,0.8,0.9,0.857,0.5,3.4,3.9,3.0,1.0,0.3,1.4,2.5,10.9
398.0,Elfrid Payton,19-20,PG,25.0,NYK,45.0,36.0,27.7,4.3,9.8,0.439,0.3,1.5,0.203,4.0,8.2,0.48200000000000004,0.455,1.1,1.9,0.57,1.2,3.6,4.7,7.2,1.6,0.4,2.1,2.0,10.0
399.0,Gary Payton II,19-20,PG,27.0,WAS,29.0,17.0,14.9,1.7,4.0,0.414,0.4,1.6,0.28300000000000003,1.2,2.4,0.5,0.47,0.1,0.3,0.5,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9
400.0,Norvel Pelle,19-20,C,26.0,PHI,24.0,0.0,9.7,1.0,2.0,0.521,0.0,0.0,0.0,1.0,2.0,0.532,0.521,0.3,0.6,0.5,0.8,2.2,3.0,0.3,0.1,1.3,0.8,2.3,2.4
401.0,Theo Pinson,19-20,SG,24.0,BRK,33.0,0.0,11.1,1.4,4.7,0.29,0.5,2.4,0.188,0.9,2.3,0.4,0.33899999999999997,0.5,0.5,0.938,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6
402.0,Mason Plumlee,19-20,C,29.0,DEN,61.0,1.0,17.3,2.9,4.7,0.615,0.0,0.1,0.0,2.9,4.6,0.625,0.615,1.4,2.5,0.535,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2
403.0,Jakob Poeltl,19-20,C,24.0,SAS,66.0,18.0,17.7,2.5,4.0,0.624,0.0,0.0,,2.5,4.0,0.624,0.624,0.6,1.3,0.465,2.0,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6
404.0,Vincent Poirier,19-20,C,26.0,BOS,22.0,0.0,5.9,0.8,1.6,0.47200000000000003,0.0,0.1,0.5,0.7,1.5,0.47100000000000003,0.486,0.3,0.3,0.857,0.6,1.4,2.0,0.4,0.1,0.4,0.4,1.1,1.9
405.0,Shamorie Ponds,19-20,PG,21.0,TOR,4.0,0.0,2.8,0.8,1.3,0.6,0.3,0.5,0.5,0.5,0.8,0.667,0.7,0.5,0.5,1.0,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3
406.0,Jordan Poole,19-20,SG,20.0,GSW,57.0,14.0,22.4,2.9,8.8,0.33299999999999996,1.3,4.6,0.27899999999999997,1.6,4.2,0.392,0.406,1.7,2.1,0.7979999999999999,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8
407.0,Kevin Porter Jr.,19-20,SF,19.0,CLE,50.0,3.0,23.2,3.7,8.4,0.442,1.1,3.2,0.335,2.7,5.3,0.506,0.505,1.5,2.0,0.723,0.4,2.8,3.2,2.2,0.9,0.3,1.9,2.7,10.0
408.0,Michael Porter Jr.,19-20,PF,21.0,DEN,55.0,8.0,16.4,3.5,7.0,0.509,1.1,2.7,0.42200000000000004,2.4,4.3,0.564,0.59,1.1,1.3,0.833,1.2,3.5,4.7,0.8,0.5,0.5,0.9,1.8,9.3
409.0,Otto Porter,19-20,SF,26.0,CHI,14.0,9.0,23.6,4.4,10.0,0.44299999999999995,1.7,4.4,0.387,2.7,5.6,0.48700000000000004,0.529,1.4,1.9,0.7040000000000001,0.9,2.5,3.4,1.8,1.1,0.4,0.8,2.2,11.9
