Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2019-20
Kyle O'Quinn,377.0,19-20,C,27.0,PHI,59.0,4.8,12.88,2.1,4.0600000000000005,0.5162,0.08,0.38,0.18439999999999998,2.04,3.6799999999999997,0.5571999999999999,0.5286,0.7200000000000001,0.96,0.734,1.32,3.12,4.42,1.5399999999999998,0.33999999999999997,0.96,0.9200000000000002,1.8199999999999998,5.04,2028594
Kyrie Irving,241.0,19-20,PG,25.0,BRK,54.4,54.4,32.940000000000005,8.92,18.74,0.47539999999999993,2.46,6.279999999999999,0.38499999999999995,6.4799999999999995,12.440000000000001,0.5206,0.5404000000000001,3.8200000000000003,4.28,0.8948,0.86,3.1599999999999997,4.04,5.779999999999999,1.2600000000000002,0.38,2.46,2.2800000000000002,24.080000000000002,31742000
LaMarcus Aldridge,3.0,19-20,C,32.0,SAS,71.0,71.0,32.56,7.82,15.6,0.5024,0.4,1.1400000000000001,0.2662,7.42,14.440000000000001,0.5147999999999999,0.515,3.6799999999999997,4.38,0.8362,2.62,5.58,8.18,2.04,0.58,1.28,1.48,2.1799999999999997,19.720000000000002,26000000
Lance Thomas,469.0,19-20,SF,29.0,BRK,46.2,14.4,18.56,1.8399999999999999,4.62,0.39319999999999994,0.6599999999999999,1.78,0.368,1.1800000000000002,2.82,0.4135999999999999,0.4676,0.8799999999999999,1.0399999999999998,0.8560000000000001,0.5399999999999999,1.9,2.4200000000000004,0.76,0.34,0.12,0.6799999999999999,1.7600000000000002,5.24,262152
Langston Galloway,168.0,19-20,SG,26.0,DET,72.0,4.2,21.5,2.8600000000000003,7.2,0.39339999999999997,1.5,4.1,0.36639999999999995,1.3599999999999999,3.1000000000000005,0.43,0.49779999999999996,0.8800000000000001,1.1,0.8118000000000002,0.44000000000000006,1.8799999999999997,2.32,1.48,0.6599999999999999,0.16,0.5,1.48,8.080000000000002,7333333
LeBron James,250.0,19-20,PG,33.0,LAL,70.8,70.8,36.019999999999996,9.959999999999999,19.080000000000002,0.5226,1.7600000000000002,5.1,0.3452,8.200000000000001,13.960000000000003,0.5866,0.5690000000000001,4.64,6.7,0.6988,1.2,7.0200000000000005,8.18,8.62,1.3,0.64,3.8199999999999994,1.78,26.380000000000003,37436858
Lou Williams,514.0,19-20,SG,31.0,LAC,73.4,12.8,28.24,5.88,13.819999999999999,0.42300000000000004,1.8199999999999998,5.119999999999999,0.3562,4.0600000000000005,8.739999999999998,0.4652,0.4904,5.2,5.96,0.8654,0.45999999999999996,2.26,2.7199999999999998,4.36,0.9,0.2,2.36,1.2599999999999998,18.720000000000002,8000000
Luc Mbah a Moute,321.0,19-20,PF,31.0,HOU,44.6,30.4,17.7,1.8200000000000003,3.8800000000000003,0.4568,0.44000000000000006,1.3800000000000001,0.2826,1.3800000000000001,2.4799999999999995,0.5606,0.5039999999999999,0.6,1.1,0.5576000000000001,0.5200000000000001,1.48,1.9799999999999998,0.45999999999999996,0.76,0.28,0.6,1.2799999999999998,4.68,289803
Marc Gasol,170.0,19-20,C,33.0,TOR,64.4,62.8,31.76,5.4,12.16,0.4436,1.1,3.0,0.4288,4.34,9.2,0.4718,0.495,2.9400000000000004,3.62,0.7988000000000002,0.9399999999999998,6.14,7.119999999999999,4.0600000000000005,0.9,1.2,2.1,2.6,14.88,25595700
Marco Belinelli,37.0,19-20,SG,31.0,SAS,71.6,2.0,22.28,3.44,8.279999999999998,0.4122,1.54,4.24,0.35819999999999996,1.92,4.04,0.4666,0.5052,1.56,1.7799999999999998,0.873,0.18,1.86,2.04,1.7399999999999998,0.5,0.08,0.9,1.18,9.919999999999998,5846154
Marcus Morris,351.0,19-20,SF-PF,28.0,TOT,70.0,59.0,30.82,5.2,12.040000000000001,0.4332,1.7399999999999998,4.66,0.36879999999999996,3.4800000000000004,7.38,0.47380000000000005,0.5052,2.2800000000000002,2.88,0.8010000000000002,0.9800000000000001,4.279999999999999,5.24,1.7399999999999998,0.7,0.32,1.38,2.28,14.459999999999999,15000000
Marcus Smart,453.0,19-20,SG,23.0,BOS,66.8,29.0,29.420000000000005,3.4400000000000004,9.24,0.3742,1.5,4.74,0.3096,1.94,4.5,0.4404,0.45519999999999994,1.98,2.5,0.792,0.8800000000000001,2.7600000000000002,3.66,4.26,1.58,0.4,1.78,2.62,10.34,12553471
Mario Hezonja,217.0,19-20,PF,22.0,POR,66.0,13.8,18.4,2.54,6.14,0.4128,0.7799999999999999,2.46,0.31379999999999997,1.7600000000000002,3.7,0.47780000000000006,0.47640000000000005,0.9399999999999998,1.2,0.8206,0.4600000000000001,2.7,3.1399999999999997,1.2399999999999998,0.76,0.22000000000000003,1.1,1.6800000000000002,6.840000000000001,1737145
Markieff Morris,352.0,19-20,PF,28.0,TOT,65.8,45.4,25.220000000000002,4.32,9.7,0.4452,1.06,3.04,0.3506,3.2399999999999998,6.659999999999999,0.49079999999999996,0.5044000000000001,1.56,2.0,0.788,1.0599999999999998,4.139999999999999,5.2,1.64,0.78,0.45999999999999996,1.5400000000000003,2.9000000000000004,11.32,2241808
Marvin Williams,515.0,19-20,PF,31.0,TOT,73.6,62.2,26.54,3.4400000000000004,7.8,0.44000000000000006,1.6,4.22,0.378,1.8399999999999999,3.6,0.5156,0.5428,1.24,1.5,0.8324,1.0399999999999998,4.220000000000001,5.26,1.2400000000000002,0.74,0.7,0.72,1.7600000000000002,9.680000000000001,15006250
