team,salary,player,position,season
Miami Heat,196217.0,Henry Walker, SF,2014-2015
Miami Heat,195440.0,Michael Beasley, SF,2014-2015
Sacramento Kings,183049.0,Quincy Miller, SF,2014-2015
Phoenix Suns,183049.0,Earl Barron, C,2014-2015
Golden State Warriors,167122.0,James Michael McAdoo, SF,2014-2015
LA Clippers,150591.0,Jordan Hamilton, SG,2014-2015
Memphis Grizzlies,134295.0,JaMychal Green, PF,2014-2015
Utah Jazz,107676.0,Elliot Williams, SG,2014-2015
New Orleans Pelicans,107676.0,Toney Douglas, PG,2014-2015
LA Clippers,107676.0,Nate Robinson, PG,2014-2015
Brooklyn Nets,96056.0,Jorge Gutierrez, PG,2014-2015
Washington Wizards,96056.0,Toure' Murry, SF,2014-2015
Utah Jazz,92514.0,Bryce Cotton, G,2014-2015
Los Angeles Lakers,59686.0,Jabari Brown, SG,2014-2015
Utah Jazz,59686.0,Jack Cooley, F,2014-2015
Portland Trail Blazers,59686.0,Tim Frazier, PG,2014-2015
