team,salary,player,position,season
San Antonio Spurs,68902.0,Damion James, SF,2013-2014
Chicago Bulls,57627.0,Mike James, PG,2013-2014
Brooklyn Nets,54785.0,Jorge Gutierrez, PG,2013-2014
Washington Wizards,52017.0,Drew Gooden, PF,2013-2014
San Antonio Spurs,52017.0,Othyus Jeffers, SG,2013-2014
Chicago Bulls,48854.0,Lou Amundson, PF,2013-2014
Sacramento Kings,46404.0,Jared Cunningham, SG,2013-2014
New Orleans Pelicans,29788.0,Melvin Ely, C,2013-2014
Houston Rockets,15605.0,Greg Smith, PF,2013-2014
Houston Rockets,13958.0,Josh Powell, PF,2013-2014
Milwaukee Bucks,9281.0,Chris Wright, SF,2013-2014
New York Knicks,8232.0,Lamar Odom, PF,2013-2014
