team,salary,player,position,season
Philadelphia 76ers,650686.0,Allen Iverson, SG,2010-2011
Washington Wizards,641141.0,Alonzo Gee, SF,2010-2011
Memphis Grizzlies,633253.0,Acie Law, PG,2010-2011
New York Knicks,600000.0,Andy Rautins, SG,2010-2011
LA Clippers,567917.0,Ike Diogu, PF,2010-2011
San Antonio Spurs,525000.0,Gary Neal, PG,2010-2011
Memphis Grizzlies,524964.0,Jason Williams, PG,2010-2011
Washington Wizards,515603.0,Lester Hudson, SG,2010-2011
LA Clippers,500000.0,Willie Warren, SG,2010-2011
Cleveland Cavaliers,500000.0,Samardo Samuels, PF,2010-2011
Atlanta Hawks,482478.0,Damien Wilkins, SG,2010-2011
LA Clippers,473604.0,Patrick Beverley, PG,2010-2011
Phoenix Suns,473604.0,Gani Lawal, PF,2010-2011
Phoenix Suns,473604.0,Garret Siler, C,2010-2011
Charlotte Bobcats,473604.0,Sherron Collins, PG,2010-2011
New York Knicks,473604.0,Landry Fields, SG,2010-2011
Memphis Grizzlies,473604.0,Ish Smith, PG,2010-2011
Denver Nuggets,473604.0,Gary Forbes, F,2010-2011
Cleveland Cavaliers,473604.0,Semih Erden, C,2010-2011
Utah Jazz,473604.0,Jeremy Evans, F,2010-2011
Miami Heat,473604.0,Dexter Pittman, C,2010-2011
Memphis Grizzlies,457588.0,Derrick Byars, SF,2010-2011
null Unknown,457588.0,Deron Washington, NA,2010-2011
Toronto Raptors,402065.0,Peja Stojakovic, SF,2010-2011
San Antonio Spurs,306575.0,Steve Novak, SF,2010-2011
Washington Wizards,226162.0,Mustafa Shakur, PG,2010-2011
New York Knicks,221136.0,Jared Jeffries, PF,2010-2011
Washington Wizards,216110.0,Mike Bibby, PG,2010-2011
New Jersey Nets,216110.0,Troy Murphy, PF,2010-2011
Charlotte Bobcats,211084.0,Dominic McGuire, PF,2010-2011
Dallas Mavericks,211084.0,Sasha Pavlovic, SG,2010-2011
LA Clippers,211084.0,Rasual Butler, SF,2010-2011
Washington Wizards,211084.0,Al Thornton, SF,2010-2011
Portland Trail Blazers,208802.0,Travis Diener, PG,2010-2011
Memphis Grizzlies,201033.0,Leon Powe, PF,2010-2011
Miami Heat,196007.0,Carlos Arroyo, PG,2010-2011
Phoenix Suns,186656.0,Zabian Dowdell, PG,2010-2011
Charlotte Hornets,168579.0,Jannero Pargo, PG,2010-2011
Golden State Warriors,133723.0,Jeff Adrien, SF,2010-2011
