Rk,Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
376,Joe Smith,10-11,PF,35,NJN,4,3,6.3,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.0,0.0,,0.3,0.5,0.8,0.3,0.0,0.0,0.5,0.8,0.5
376,Joe Smith,10-11,PF,35,LAL,12,0,3.7,0.2,1.0,0.16699999999999998,0.0,0.0,,0.2,1.0,0.16699999999999998,0.16699999999999998,0.2,0.2,1.0,0.2,1.3,1.5,0.3,0.0,0.3,0.3,0.8,0.5
377,Josh Smith,10-11,PF,25,ATL,77,77,34.4,6.5,13.5,0.47700000000000004,0.7,2.0,0.331,5.8,11.5,0.503,0.502,3.0,4.1,0.725,1.7,6.8,8.5,3.3,1.3,1.6,2.6,2.8,16.5
378,Darius Songaila,10-11,C,32,PHI,10,0,7.1,0.7,1.5,0.467,0.0,0.0,,0.7,1.5,0.467,0.467,0.2,0.4,0.5,0.2,0.8,1.0,0.2,0.0,0.0,0.4,1.6,1.6
379,Marreese Speights,10-11,C,23,PHI,64,1,11.5,2.3,4.5,0.495,0.0,0.1,0.25,2.2,4.5,0.498,0.49700000000000005,0.9,1.1,0.753,1.0,2.3,3.3,0.5,0.1,0.3,0.6,1.9,5.4
380,Tiago Splitter,10-11,C,26,SAS,60,6,12.3,1.7,3.2,0.529,0.0,0.0,0.0,1.7,3.2,0.532,0.529,1.3,2.3,0.5429999999999999,1.2,2.2,3.4,0.4,0.5,0.3,0.5,1.5,4.6
381,Jerry Stackhouse,10-11,SG,36,MIA,7,1,7.1,0.4,1.7,0.25,0.1,0.6,0.25,0.3,1.1,0.25,0.292,0.7,1.0,0.7140000000000001,0.1,0.9,1.0,0.4,0.0,0.3,0.3,0.4,1.7
382,Lance Stephenson,10-11,SG,20,IND,12,0,9.6,1.1,3.3,0.33299999999999996,0.0,0.4,0.0,1.1,2.8,0.382,0.33299999999999996,0.9,1.2,0.7859999999999999,0.1,1.4,1.5,1.8,0.3,0.0,1.3,1.2,3.1
383,DeShawn Stevenson,10-11,SG,29,DAL,72,54,16.1,1.8,4.6,0.38799999999999996,1.3,3.5,0.37799999999999995,0.5,1.1,0.42,0.53,0.5,0.6,0.767,0.3,1.2,1.5,1.1,0.3,0.1,0.6,1.0,5.3
384,Peja Stojaković,10-11,SF,33,TOT,33,13,18.7,3.0,6.9,0.441,1.7,4.1,0.419,1.3,2.8,0.473,0.5660000000000001,0.7,0.8,0.92,0.4,1.8,2.3,0.9,0.4,0.1,0.5,0.7,8.5
