team,salary,player,position,season
LA Clippers,792377.0,Solomon Jones, PF,2011-2012
Milan Olimpia,788872.0,Gani Lawal, PF,2011-2012
null Unknown,788872.0,Da'Sean Butler, NA,2011-2012
San Antonio Spurs,788872.0,Marcus Cousin, C,2011-2012
Toronto Raptors,788872.0,Andy Rautins, SG,2011-2012
Phoenix Suns,788872.0,Zabian Dowdell, PG,2011-2012
Perth Perth,788872.0,Terrico White, G,2011-2012
Atlanta Hawks,788872.0,Pape Sy, SF,2011-2012
null Unknown,788872.0,Magnum Rolle, NA,2011-2012
Golden State Warriors,785487.0,Nate Robinson, PG,2011-2012
Cleveland Cavaliers,780871.0,Jermaine Taylor, SG,2011-2012
Dallas Mavericks,771706.0,Yi Jianlian, SF,2011-2012
Washington Wizards,762195.0,Hamady Ndiaye, C,2011-2012
null Unknown,762195.0,Kenny Hasbrouck, NA,2011-2012
Memphis Grizzlies,762195.0,Tony Gaffney, SF,2011-2012
Boston Celtics,762195.0,Greg Stiemsma, C,2011-2012
Utah Jazz,762195.0,Brian Butch, C,2011-2012
Flamengo Flamengo,762195.0,Derrick Caracter, PF,2011-2012
Cleveland Cavaliers,762195.0,Samardo Samuels, PF,2011-2012
Cleveland Cavaliers,762195.0,Semih Erden, C,2011-2012
Miami Heat,762195.0,Dexter Pittman, C,2011-2012
New York Knicks,736420.0,Joe Crawford, SG,2011-2012
LA Clippers,736420.0,Mike Taylor, PG,2011-2012
Detroit Pistons,736420.0,Walter Sharpe, PF,2011-2012
Chicago Bulls,736420.0,DeMarcus Nelson, SG,2011-2012
Charlotte Hornets,736420.0,Dontell Jefferson, SG,2011-2012
Madrid Real Madrid,736420.0,Othello Hunter, SF,2011-2012
San Antonio Spurs,708640.0,Ime Udoka, SG,2011-2012
Oklahoma City Thunder,679821.0,Mike Wilks, PG,2011-2012
Memphis Grizzlies,668434.0,Brian Skinner, PF,2011-2012
Philadelphia 76ers,650686.0,Allen Iverson, SG,2011-2012
Golden State Warriors,650000.0,Jeremy Tyler, C,2011-2012
Golden State Warriors,633253.0,Acie Law, PG,2011-2012
Memphis Grizzlies,550000.0,Josh Selby, PG,2011-2012
LA Clippers,535000.0,Trey Thompkins, PF,2011-2012
